customer_id,tax_id,c_first_name,c_last_name
CUST-89306B0C,158-65-7809,Casey,Welch
CUST-2227BF7E,431-61-1724,Rebecca,Williams
CUST-3626B705,045-56-2386,Ashlee,Sparks
CUST-D450315E,221-96-9379,Douglas,Murray
CUST-FA9BC72F,474-07-4821,Scott,Reed
CUST-7DEDB29B,946-47-4367,Daniel,James
CUST-A9EFCE57,594-40-6409,Michelle,Osborne
CUST-6A39AD20,097-43-9533,Christine,Byrd
CUST-BFE855E6,210-47-0952,Christopher,Phillips
CUST-2DA93914,623-28-5884,Maria,Scott
CUST-F9865472,745-17-1236,Tammy,Ballard
CUST-8154ADB0,516-04-8175,Emily,Chambers
CUST-54DD30B6,965-13-7098,Mark,Bishop
CUST-9939F759,174-61-2004,Wendy,Wilson
CUST-A4019304,382-67-5869,Julia,Moore
CUST-690724ED,617-96-4053,Scott,Sampson
CUST-D1DFCA4E,515-85-0643,Tammy,Rush
CUST-8DBDCEAC,713-90-0532,Kristin,Harris
CUST-FD51D212,839-33-5290,Joshua,Riggs
CUST-D464D8A6,284-21-0205,Kristy,Young
CUST-C95FC203,502-40-2681,Julie,Alvarez
CUST-3DFCD350,589-17-8390,Jessica,Kerr
CUST-4BB58A0A,847-00-7661,Tracy,Browning
CUST-375377AA,115-92-1249,Cynthia,Kelley
CUST-D3380BE6,569-84-7896,Cory,Miles
CUST-A9775D55,836-73-6576,Robert,Davis
CUST-BF17CDEA,654-52-7111,Christopher,Davis
CUST-A58721AD,528-09-8851,Robert,Russo
